timestamp,name,display_name,state,start_mode,start_name,path
2026-08-17 20:44:40,GoogleUpdaterService152.0.7933.0,Google Updater Service (GoogleUpdaterService152.0.7933.0),Stopped,Auto,LocalSystem,"""C:\Program Files (x86)\Google\GoogleUpdater\152.0.7933.0\updater.exe"" --system --windows-service --service=update"
2026-08-17 20:44:40,gpsvc,Group Policy Client,Running,Auto,LocalSystem,C:\Windows\system32\svchost.exe -k GPSvcGroup
2026-08-17 20:44:40,GraphicsPerfSvc,GraphicsPerfSvc,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup
2026-08-17 20:44:40,hidserv,Human Interface Device Service,Running,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,hpatchmon,Hotpatch Monitoring Service,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,HvHost,HV Host Service,Running,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,icssvc,Windows Mobile Hotspot Service,Stopped,Manual,NT Authority\LocalService,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2026-08-17 20:44:40,IKEEXT,IKE and AuthIP IPsec Keying Modules,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,InstallService,Microsoft Store Install Service,Running,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,Intel(R) Platform License Manager Service,Intel(R) Platform License Manager Service,Stopped,Auto,LocalSystem,C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_fc84dfa25a6a7727\lib\PlatformLicenseManagerService.exe
2026-08-17 20:44:40,IntelAudioService,Intel(R) Audio Service,Running,Auto,LocalSystem,C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_673570ff175bfc85\AS\IAS\IntelAudioService.exe
2026-08-17 20:44:40,IntelGraphicsSoftwareService,Intelr Graphics Software,Running,Auto,LocalSystem,"""C:\Program Files\WindowsApps\AppUp.IntelArcSoftware_26.18.2353.0_x64__8j3eq9eme6ctt\VFS\ProgramFilesX64\Intel\Intel Graphics Software\IntelGraphicsSoftware.Service.exe"""
2026-08-17 20:44:40,InventorySvc,Inventory and Compatibility Appraisal service,Running,Auto,LocalSystem,C:\Windows\system32\svchost.exe -k InvSvcGroup -p
2026-08-17 20:44:40,ipfsvc,Intel(R) Innovation Platform Framework Service,Running,Auto,LocalSystem,"""C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_7218f3b363a821fe\ipf_uf.exe"""
2026-08-17 20:44:40,iphlpsvc,IP Helper,Running,Auto,LocalSystem,C:\Windows\System32\svchost.exe -k NetSvcs -p
2026-08-17 20:44:40,IpxlatCfgSvc,IP Translation Configuration Service,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,IsoEnvBroker,Isolation Environment Broker,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k IsoEnvBroker -p
2026-08-17 20:44:40,jhi_service,Intel(R) Dynamic Application Loader Host Interface Service,Running,Auto,LocalSystem,C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe
2026-08-17 20:44:40,KeyIso,CNG Key Isolation,Running,Manual,LocalSystem,C:\Windows\system32\lsass.exe
2026-08-17 20:44:40,KtmRm,KtmRm for Distributed Transaction Coordinator,Stopped,Manual,NT AUTHORITY\NetworkService,C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p
2026-08-17 20:44:40,LanmanServer,Server,Running,Auto,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,LanmanWorkstation,Workstation,Running,Auto,NT AUTHORITY\NetworkService,C:\Windows\System32\svchost.exe -k NetworkService -p
2026-08-17 20:44:40,lfsvc,Geolocation Service,Running,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcsRedirectionGuard -p
2026-08-17 20:44:40,LicenseManager,Windows License Manager Service,Running,Manual,NT Authority\LocalService,C:\Windows\System32\svchost.exe -k LocalService -p
2026-08-17 20:44:40,lltdsvc,Link-Layer Topology Discovery Mapper,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k LocalService -p
2026-08-17 20:44:40,lmhosts,TCP/IP NetBIOS Helper,Running,Manual,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2026-08-17 20:44:40,LocalKdc,Kerberos Local Key Distribution Center,Stopped,Manual,LocalSystem,C:\Windows\System32\lsass.exe
2026-08-17 20:44:40,LSM,LSM,Running,Unknown,,
2026-08-17 20:44:40,LxpSvc,Language Experience Service,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcs
2026-08-17 20:44:40,MapsBroker,Downloaded Maps Manager,Stopped,Auto,NT AUTHORITY\NetworkService,C:\Windows\System32\svchost.exe -k NetworkService -p
2026-08-17 20:44:40,McAfee WebAdvisor,McAfee WebAdvisor,Running,Auto,LocalSystem,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe"""
2026-08-17 20:44:40,McmSvc,Mobile Connectivity Management Service,Stopped,Manual,NT SERVICE\McmSvc,C:\Windows\system32\svchost.exe -k McmSvc -p -s McmSvc
2026-08-17 20:44:40,McpManagementService,McpManagementService,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k McpManagementServiceGroup
2026-08-17 20:44:40,MDCoreSvc,Microsoft Defender Core Service,Running,Auto,LocalSystem,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe"""
2026-08-17 20:44:40,MicrosoftCopilotElevationService,Microsoft Copilot Elevation Service (MicrosoftCopilotElevationService),Stopped,Manual,LocalSystem,"""C:\Program Files (x86)\Microsoft\Copilot\Application\150.0.4078.96\elevation_service.exe"""
2026-08-17 20:44:40,MicrosoftEdgeElevationService,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),Running,Manual,LocalSystem,"""C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.86\elevation_service.exe"""
2026-08-17 20:44:40,midisrv,Windows MIDI Service,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\system32\midisrv.exe
2026-08-17 20:44:40,MozillaMaintenance,Mozilla Maintenance Service,Stopped,Manual,LocalSystem,"""C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe"""
2026-08-17 20:44:40,mpssvc,Windows Defender Firewall,Running,Auto,NT Authority\LocalService,C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2026-08-17 20:44:40,MSDTC,Distributed Transaction Coordinator,Stopped,Manual,NT AUTHORITY\NetworkService,C:\Windows\System32\msdtc.exe
2026-08-17 20:44:40,MSiSCSI,Microsoft iSCSI Initiator Service,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,msiserver,Windows Installer,Stopped,Manual,LocalSystem,C:\Windows\system32\msiexec.exe /V
2026-08-17 20:44:40,NaturalAuthentication,Natural Authentication,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,NcaSvc,Network Connectivity Assistant,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k NetSvcs -p
2026-08-17 20:44:40,NcbService,Network Connection Broker,Running,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,NcdAutoSetup,Network Connected Devices Auto-Setup,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p
2026-08-17 20:44:40,Netlogon,Netlogon,Stopped,Manual,LocalSystem,C:\Windows\system32\lsass.exe
2026-08-17 20:44:40,Netman,Network Connections,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,netprofm,Network List Service,Running,Manual,NT AUTHORITY\NetworkService,C:\Windows\System32\svchost.exe -k netprofm -p
2026-08-17 20:44:40,NetSetupSvc,NetSetupSvc,Stopped,Unknown,,
2026-08-17 20:44:40,NetTcpPortSharing,Net.Tcp Port Sharing Service,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe
2026-08-17 20:44:40,NgcCtnrSvc,Microsoft Passport Container,Running,Manual,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2026-08-17 20:44:40,NgcSvc,Microsoft Passport,Running,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,NlaSvc,Network Location Awareness,Stopped,Manual,NT AUTHORITY\NetworkService,C:\Windows\System32\svchost.exe -k netprofm -p
2026-08-17 20:44:40,nsi,Network Store Interface Service,Running,Auto,NT Authority\LocalService,C:\Windows\system32\svchost.exe -k LocalService -p
2026-08-17 20:44:40,PcaSvc,Program Compatibility Assistant Service,Running,Auto,LocalSystem,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,perceptionsimulation,Windows Perception Simulation Service,Stopped,Manual,LocalSystem,C:\Windows\system32\PerceptionSimulation\PerceptionSimulationService.exe
2026-08-17 20:44:40,PerfHost,Performance Counter DLL Host,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\SysWow64\perfhost.exe
2026-08-17 20:44:40,PhoneSvc,Phone Service,Stopped,Manual,NT Authority\LocalService,C:\Windows\system32\svchost.exe -k LocalService -p
2026-08-17 20:44:40,pla,Performance Logs & Alerts,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p
2026-08-17 20:44:40,PlugPlay,Plug and Play,Running,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k DcomLaunch -p
2026-08-17 20:44:40,PolicyAgent,IPsec Policy Agent,Stopped,Manual,NT Authority\NetworkService,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p
2026-08-17 20:44:40,Power,Power,Running,Auto,LocalSystem,C:\Windows\system32\svchost.exe -k DcomLaunch -p
2026-08-17 20:44:40,PrintDeviceConfigurationService,Print Device Configuration Service,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,PrintNotify,Printer Extensions and Notifications,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k print
2026-08-17 20:44:40,PrintScanBrokerService,PrintScanBrokerService,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k PrintScanBrokerService -p
2026-08-17 20:44:40,ProfSvc,User Profile Service,Running,Auto,LocalSystem,C:\Windows\system32\svchost.exe -k UserProfileService -p
2026-08-17 20:44:40,PushToInstall,Windows PushToInstall Service,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,QWAVE,Quality Windows Audio Video Experience,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p
2026-08-17 20:44:40,RasAuto,Remote Access Auto Connection Manager,Stopped,Manual,localSystem,C:\Windows\System32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,RasMan,Remote Access Connection Manager,Running,Manual,localSystem,C:\Windows\System32\svchost.exe -k netsvcs
2026-08-17 20:44:40,refsdedupsvc,ReFS Dedup Service,Stopped,Manual,LocalSystem,C:\Windows\System32\ReFsDedupSvc.exe
2026-08-17 20:44:40,RemoteAccess,Routing and Remote Access,Stopped,Disabled,localSystem,C:\Windows\System32\svchost.exe -k netsvcs
2026-08-17 20:44:40,RemoteRegistry,Remote Registry,Stopped,Disabled,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k localService -p
2026-08-17 20:44:40,RetailDemo,Retail Demo Service,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k rdxgroup
2026-08-17 20:44:40,RmSvc,Radio Management Service,Running,Manual,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
2026-08-17 20:44:40,RpcEptMapper,RPC Endpoint Mapper,Running,Auto,NT AUTHORITY\NetworkService,C:\Windows\system32\svchost.exe -k RPCSS -p
