timestamp,severity,pid,ppid,name,path,username,status,reason
2026-08-17 16:35:36,MEDIUM,7964,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8004,4812,ipf_helper.exe,C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_7218f3b363a821fe\ipf_helper.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8020,4828,uihost.exe,C:\Program Files\McAfee\WebAdvisor\uihost.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8272,15256,pet.exe,C:\Users\nitin\.vscode\extensions\ms-python.vscode-python-envs-1.36.0-win32-x64\python-env-tools\bin\pet.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8376,10020,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8468,3084,wlanext.exe,C:\Windows\System32\wlanext.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8592,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8756,18156,OpenConsole.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\a5b5009513\resources\app\node_modules.asar.unpacked\node-pty\build\Release\conpty\OpenConsole.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,8948,1700,AppActions.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,9144,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,9300,4540,AggregatorHost.exe,C:\Windows\System32\AggregatorHost.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,9500,7812,ShellHost.exe,C:\Windows\System32\ShellHost.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,9856,1504,SecurityHealthService.exe,C:\Windows\System32\SecurityHealthService.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,9880,7812,CrossDeviceResume.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,9992,7548,PresentMonService.exe,C:\Program Files\WindowsApps\AppUp.IntelArcSoftware_26.18.2353.0_x64__8j3eq9eme6ctt\VFS\ProgramFilesX64\Intel\Intel Graphics Software\PresentMonService.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,10020,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,10096,12352,SearchProtocolHost.exe,C:\Windows\System32\SearchProtocolHost.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,10412,10272,NgcIso.exe,C:\Windows\System32\NgcIso.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,10652,1700,Widgets.exe,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.21100.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,10804,12352,SearchFilterHost.exe,C:\Windows\System32\SearchFilterHost.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,10888,1700,WidgetService.exe,C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,11260,1700,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
